[file name]: ghg_emissions_framework_en.csv
[file content begin]
scope,scope_name,category,sub_category,activity_type,requires_fuel_type,requires_transport_details,requires_material_details,default_unit,description,position
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Boilers,Natural Gas Boiler,true,false,false,m³,"Stationary combustion system using natural gas",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Boilers,Coal Boiler,true,false,false,kg,"Stationary combustion system using coal",2
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Boilers,Fuel-oil/Diesel Boiler,true,false,false,liter,"Stationary combustion system using fuel oil or diesel",3
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Boilers,Biomass Boiler,true,false,false,kg,"Stationary combustion system using biomass",4
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Boilers,Other Boilers,true,false,false,m³,"Other stationary combustion systems",5
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Generators,Diesel Generator,true,false,false,liter,"Mobile power generation unit using diesel",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Generators,Natural Gas Generator,true,false,false,m³,"Mobile power generation unit using natural gas",2
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Generators,LPG Generator,true,false,false,kg,"Mobile power generation unit using LPG",3
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Generators,Other Generators,true,false,false,m³,"Other generator types",4
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Cogeneration/Trigeneration Systems,Fixed engines or turbines for electricity + heat/cooling production,true,false,false,kWh,"Combined heat and power generation systems",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Process Heaters and Furnaces,Industrial furnaces (e.g., steel, glass, ceramic production),true,false,false,m³,"Industrial heating processes",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Process Heaters and Furnaces,Process ovens (e.g., refinery ovens),true,false,false,m³,"Process heating equipment",2
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Process Heaters and Furnaces,Drying ovens,true,false,false,m³,"Drying process equipment",3
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Turbines and Engines (Stationary),Gas turbines (e.g., for electricity generation),true,false,false,m³,"Stationary gas turbines",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Turbines and Engines (Stationary),Stationary gas/diesel engines (e.g., powering industrial equipment),true,false,false,liter,"Stationary internal combustion engines",2
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Other Stationary Combustion Systems,Heaters (e.g., infrared heater, LPG stove),true,false,false,m³,"Other stationary heating equipment",1
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Other Stationary Combustion Systems,Kitchen equipment (industrial stoves),true,false,false,m³,"Industrial cooking equipment",2
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Other Stationary Combustion Systems,Other stationary energy units,true,false,false,m³,"Other stationary energy systems",3
scope1,Scope 1: Direct GHG Emissions and Removals,Stationary Combustion,Other Equipment,Other equipment,true,false,false,m³,"Miscellaneous equipment",1
scope1,Scope 1: Direct GHG Emissions and Removals,Mobile Combustion,Road Transportation,Passenger cars (company vehicles, fleet vehicles),true,true,false,liter,"Company-owned passenger vehicles",1
